JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
9554687;0;gcn26;2400000;2194807;2400000;1.155216;0.843707;0.278280;1.194018;0.000000;0.000000;456.046994;63.185036;154.084487;41820030913;49566997842;0.377354;213587258;194707654;0;681802762;0;3099049456;0;611633;1038;92;4304;55.389308;576923;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554140;14;22-01-2025 14:55:40
9554687;0;gcn26;2384000;2194800;2400000;1.003314;1.131279;0.046109;0.778949;0.000000;0.000000;421.481288;71.995529;183.022380;191745775453;169494753544;0.722413;377105724;285411343;0;159652560;0;67288312;7014437456;4425811;0;496;8;77.539385;1410000;1215000;13;2;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554150;24;22-01-2025 14:55:50
9554687;0;gcn26;2392000;2195139;2400000;1.002514;1.147216;0.004586;0.164659;0.000000;0.000000;488.804211;71.505326;191.587738;412932525673;359943172340;1.687001;687764708;458898028;0;79810100;0;156440688;16665275744;8972711;0;0;0;96.790000;1410000;1215000;29;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554160;34;22-01-2025 14:56:00
9554687;0;gcn26;2386666;2194803;2400000;1.002314;1.146721;0.006589;0.236973;0.000000;0.000000;486.844269;71.757670;192.143122;413356709680;360468356170;1.706128;688537140;462497717;0;78626246;0;160853192;16852601936;10147376;0;0;0;91.379167;1410000;1215000;28;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554170;44;22-01-2025 14:56:10
9554687;0;gcn26;2394666;2194772;2400000;1.002814;1.148175;0.006835;0.245309;0.000000;0.000000;496.234433;71.608024;192.397746;413232262602;359903413916;1.688794;691192805;461266294;0;79895160;0;156282216;16677733376;9492065;0;0;0;91.026500;1410000;1215000;27;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554180;54;22-01-2025 14:56:20
9554687;0;gcn26;2393333;2194863;2400000;1.001914;1.147809;0.013219;0.474726;0.000000;0.000000;493.995312;72.229793;194.319029;412988898763;359806336233;1.695585;691224671;463016260;0;79882284;0;158283616;16745531504;9460629;0;0;0;94.877000;1410000;1215000;27;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554190;64;22-01-2025 14:56:30
9554687;0;gcn26;2385333;2194837;2400000;1.009314;1.148419;0.084099;3.013005;0.000000;0.000000;505.166500;74.775348;197.411046;415276634926;361607110440;1.700036;686834495;466761303;0;78560381;0;161714856;16903689696;11099936;0;0;0;92.006200;1410000;1215000;27;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554200;74;22-01-2025 14:56:40
9554687;0;gcn26;2380000;2194775;2400000;1.001914;1.149044;0.205982;7.393592;0.000000;0.000000;583.869279;78.194865;200.885102;413232454630;359631441130;1.666381;674281696;459868326;0;78088319;0;152972248;16462713808;10024333;0;0;0;89.209667;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554210;84;22-01-2025 14:56:50
9554687;0;gcn26;2392000;2194825;2400000;1.002514;1.147853;0.069576;2.497226;0.000000;0.000000;740.476179;74.387310;199.024129;413026941321;359825599522;1.677210;676734754;459390440;0;77630976;0;158724704;16569751008;9599316;0;0;0;91.258000;1410000;1215000;27;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554220;94;22-01-2025 14:57:00
9554687;0;gcn26;2388000;2194974;2400000;1.001714;1.149223;0.057998;2.081444;0.000000;0.000000;756.806153;73.740356;198.656781;413145594959;359500067755;1.671272;682066664;462079422;0;78626979;0;149769720;16509659776;9761215;0;0;0;88.835909;1410000;1215000;27;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554230;104;22-01-2025 14:57:10
9554687;0;gcn26;2377333;2194721;2400000;1.003014;1.127239;0.085274;2.603444;0.000000;0.000000;721.737089;74.050192;195.361750;345187807201;306224176514;1.373049;612221610;439904355;0;408531264;0;126487456;13217439792;8238913;4;132;0;88.560500;1410000;1215000;21;3;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554240;114;22-01-2025 14:57:20
9554687;0;gcn26;2397333;2194969;2400000;1.002214;0.894040;0.101140;2.024314;0.000000;0.000000;482.143984;73.523306;184.523896;179338760570;200593725016;0.778307;518769569;424175261;0;1010308500;0;6705966760;37386000;45756374;0;0;680;71.029231;1410000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737554250;124;22-01-2025 14:57:30
