JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
9528560;0;gcn22;2400000;2194861;2400000;1.001606;0.858107;3.023349;4.842543;0.000000;0.000000;621.309928;112.399556;252.463272;13766510125;16042878487;0.000054;178286386;136406380;0;130;0;0;0;536916;1032;48;5648;49.065333;226666;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457266;12;21-01-2025 12:01:06
9528560;0;gcn22;2400000;2194800;2400000;1.003506;1.072031;0.687458;12.215667;0.000000;0.000000;675.223397;118.036197;266.042046;191160659884;178316290127;0.948143;378876497;320062856;0;824477797;0;3192565224;5492867328;2809295;0;1072;368;73.931636;1191818;1215000;8;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457276;22;21-01-2025 12:01:16
9528560;0;gcn22;2386666;2194817;2400000;1.001506;1.151313;0.161229;5.764832;0.000000;0.000000;863.683947;112.895736;278.921398;412278604424;358094404844;1.650707;668270837;454936821;0;77040833;0;156888376;16287082176;9173753;0;0;0;93.765167;1410000;1215000;28;5;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457286;32;21-01-2025 12:01:26
9528560;0;gcn22;2394666;2194761;2400000;1.001406;1.149585;0.269180;9.658152;0.000000;0.000000;1072.313898;115.897341;280.785712;413049864107;359303354199;1.655173;664113138;451829079;0;77415700;0;156580160;16331076432;9831737;0;0;0;95.746583;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457296;42;21-01-2025 12:01:36
9528560;0;gcn22;2384000;2194887;2400000;1.001806;1.150827;0.155317;5.566272;0.000000;0.000000;1219.430221;112.647234;279.078136;413180858941;359029448203;1.649062;666254073;452508219;0;77790531;0;156938264;16276353744;9224740;0;0;0;93.194182;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457306;52;21-01-2025 12:01:46
9528560;0;gcn22;2384000;2194802;2400000;1.001506;1.150497;0.152277;5.456436;0.000000;0.000000;1201.676794;112.605316;279.267666;412870301911;358862660292;1.651626;667440578;454399234;0;77143106;0;146465992;16311032352;9698437;0;0;0;96.785727;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457316;62;21-01-2025 12:01:56
9528560;0;gcn22;2390666;2194815;2400000;1.001506;1.148390;0.047640;1.710479;0.000000;0.000000;820.101599;108.757250;271.351898;412942211241;359583720368;1.681279;671044707;450635229;0;77514164;0;163141264;16587461872;9890536;0;0;0;80.936692;1288846;1215000;29;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457326;72;21-01-2025 12:02:06
9528560;0;gcn22;2386666;2194973;2400000;1.001406;1.147688;0.040279;1.445235;0.000000;0.000000;794.104172;108.192181;272.006927;412372815096;359307279739;1.652998;673080724;449441615;0;78604453;0;158974496;16306489152;9054755;0;0;0;72.397333;1130000;1215000;31;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457336;82;21-01-2025 12:02:16
9528560;0;gcn22;2392000;2194814;2400000;1.002906;1.148313;0.051479;1.848170;0.000000;0.000000;711.093278;108.923750;271.524714;413462284490;360060655139;1.676934;674705745;453015973;0;78238235;0;158323720;16568280688;9776778;0;0;0;93.237071;1410000;1215000;27;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457346;92;21-01-2025 12:02:26
9528560;0;gcn22;2384000;2194912;2400000;1.001306;1.148876;0.070575;2.532597;0.000000;0.000000;879.433109;109.993725;274.595681;412814846142;359320540258;1.677260;668462770;453216119;0;78460092;0;153064096;16553221376;9655449;0;0;0;94.823167;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1737457356;102;21-01-2025 12:02:36
